Human	Mouse
Q99470	Q9DCT5
P09629	P09024
P0C7M8	P0C7M9
P15260	P15261
P22352	P46412
P21266	P48774
O95639	Q8BQZ5
O00194	Q99P58
O00559	Q9D0V7
Q86WS5	Q3V0Q7
Q92886	P70660
P59190	Q8K386
P0C025	Q9CWD3
P20339	Q9CQD1
P61018	Q91ZR1
O95484	Q9Z0S7
Q9H8M1	Q3THF9
Q96EQ8	Q9D9R0
Q9NZZ3	Q9D7S9
Q9H944	Q9R0X0
Q9UIJ7	Q9WTP7
O95716	P35276
P50221	P32442
P61019	P53994
Q08722	Q61735
Q969T4	P52483
P33947	Q9CQM2
Q92882	Q62422
Q99932	Q3V0Q6
Q86UD3	Q8BRX9
Q7Z434	Q8VCF0
Q15013	Q9DCX1
Q07507	Q9QZZ6
Q8N9Z9	Q9D4C1
Q9P1T7	Q8BX65
Q9NW97	Q99LG1
Q8NH09	Q8VGU2
Q8NH09	Q8VET7
P54845	P54846
Q8N0W5	D3YYL3
P49895	Q61153
P17081	Q8R527
Q92963	P70426
Q96D96	Q3U2S8
Q6P387	Q8BHB7
P78330	Q99LS3
Q8IXM7	Q810P2
Q693B1	Q8K485
Q9H0R3	Q8BVA2
Q969E2	Q9JKV5
Q9BV47	Q9D700
P26583	P30681
P04217	Q19LI2
Q00056	P06798
P21291	P97315
Q13907	P58044
Q07699	P97952
Q2HXU8	Q149M0
O95210	Q8C7E7
Q8N4L4	Q5F289
Q9H3Z4	P60904
Q9BSW2	Q3UP38
Q8WVC6	Q8BHC4
Q8N3Z3	Q9CY28
Q9P0V8	Q9D3G2
O76093	O89101
P14061	P51656
O14569	Q9WUE3
Q96ND0	Q8BGY7
Q8NEY3	Q8K3V1
Q96MV1	Q8CGF5
Q86XT9	Q9D123
Q96LT6	Q9DAE8
Q9HB71	Q9CXW3
Q9H4E5	Q9ER71
Q9UHG2	Q9QXV0
O14668	A2BFE8
A1L170	J3QNH8
P50461	P50462
Q9UEU0	O88384
Q53RY4	Q8K177
O95999	Q9Z0H7
Q4G1C9	Q9CQ35
Q5VVH5	Q9ESJ7
Q96MF7	Q91VT1
Q8TCD6	Q9D9M5
Q9BU76	Q99LX5
Q96FV0	Q9DAP0
Q96BS2	Q9JKL5
Q9BS16	Q9ESN5
Q9BUP3	Q9Z2G9
Q9UJ68	Q9D6Y7
A9UHW6	Q3UBZ5
P10301	P10833
P10746	P51163
A6NFD8	Q7TS99
O75425	Q8BGG6
Q8WUZ0	O08664
P59535	Q7TQB8
Q5TBK1	Q3V2Q8
Q9Y624	O88792
Q96BZ8	Q9DB98
Q96Q80	Q9D8K3
Q9HB09	Q9D3J3
Q9NP95	Q9ESL9
Q9UI95	Q9D752
Q9H808	Q9WVB3
A8MTA8	A2AIP0
P33241	P19973
P28067	P28078
P21926	P40240
P51149	P51150
A6H8Z2	Q8C627
Q5H9L4	Q3V063
Q7Z2X4	Q3UBG2
O43633	Q9DB34
Q6UXV4	Q78IK4
P49795	Q9CX84
Q96S79	Q5SSG5
Q8IXP5	Q9D8Q6
Q86W47	Q9JIN6
Q8N8F6	Q9JIM5
Q96AX2	Q9JKM7
Q9Y3V2	Q8VIL2
Q9NX09	Q9D3F7
P02746	P14106
Q5U4N7	A6PWY0
Q6NXP2	B2RXB0
P42126	P42125
Q2I0M5	Q8BJ73
Q53HL2	Q8BHX3
Q8IUK8	Q8BGU2
Q86W74	Q8BTZ5
Q13588	Q9CX99
Q5BKY9	Q9CVI2
Q9H2R5	Q8CGR4
Q9BQ24	Q8VCM3
Q9Y693	Q8BM86
Q9BZR8	Q9CPT0
Q9BUE0	Q9CZ82
Q9Y3A6	Q9CXE7
Q6P9G0	D3YYP3
Q6P9G0	Q5NCY3
H3BV60	D3YZZ2
O00501	O54942
P05408	P12961
O60259	Q61955
P50553	Q02067
A6NDL7	Q8CDZ2
P19388	Q80UW8
Q9NWM8	P59024
Q71F23	Q8C4M7
Q9UKY7	Q4VAA2
Q6X4U4	Q9CQN4
Q8NFX7	Q8R3T5
Q6DKI1	Q9D8M4
Q96T66	Q99JR6
Q9NQT4	Q9CRA8
O43760	O55101
P13765	O35424
Q4KMZ1	A2ADZ8
Q5VWC8	A2AKM2
Q03405	P35456
Q96LR9	E9Q0X2
O14735	Q8VDP6
Q13571	Q61168
Q9NUR3	A2AU34
O14530	Q9CQ79
P02750	Q91XL1
Q8WUD1	P59279
Q8N8N0	Q8BG47
Q8NB37	Q8BFQ8
Q15040	Q9DBJ6
Q9Y2R9	Q80X85
Q8TBF4	Q9CZ96
Q9UJG1	Q8VEL0
Q9Y294	Q9CQE6
Q9HCN8	Q9ESP1
Q9Y535	Q9D2C6
P41220	O08849
P23284	P24369
Q6UWV2	Q3V3F6
Q13520	Q8C4A0
Q9NP72	P35293
P17026	Q9ERU3
P27144	Q9WUR9
Q9H2H0	Q6NXI8
Q8WZ55	Q8VIM4
Q9H1Z9	Q8VCF5
Q8WUU8	Q9DCX7
P07477	Q792Z1
P07477	Q9QUK9
P07477	Q9R0T7
P07477	Q9Z1R9
P07477	Q792Y8
P07477	Q792Z0
P07477	Q792Y9
P07477	P07146
P07478	Q792Z1
P07478	Q9QUK9
P07478	Q9R0T7
P07478	Q9Z1R9
P07478	Q792Y8
P07478	Q792Z0
P07478	Q792Y9
P07478	P07146
Q8NHM4	Q792Z1
Q8NHM4	Q9QUK9
Q8NHM4	Q9R0T7
Q8NHM4	Q9Z1R9
Q8NHM4	Q792Y8
Q8NHM4	Q792Z0
Q8NHM4	Q792Y9
Q8NHM4	P07146
P35030	Q792Z1
P35030	Q9QUK9
P35030	Q9R0T7
P35030	Q9Z1R9
P35030	Q792Y8
P35030	Q792Z0
P35030	Q792Y9
P35030	P07146
P01911	P04230
Q30154	P04230
P79483	P04230
P13762	P04230
O75396	O08547
P02686	P04370
P30041	O08709
P26373	P47963
P62070	P62071
O96004	Q64279
Q8TBC5	E9PUD6
Q12981	Q6QD59
Q7Z7H8	Q3TBW2
A8MTB9	Q9D871
Q8IXQ9	Q80ZM3
Q9NRW1	P61294
P26998	Q9JJU9
P80217	Q9D8C4
Q9BSN7	Q7TQI0
Q9H6E4	Q8C7V8
Q9BX73	Q8R0I4
Q96LR5	Q91W82
Q8NEL0	Q9DAL3
Q06520	P50236
Q06520	P52843
Q06520	K7N6K9
Q06520	D3Z1W5
Q06520	L7N245
Q06520	B2RVI8
O14807	O08989
P15692	Q00731
A1KXE4	Q80XQ8
O75508	Q60771
P62820	P62821
Q9H825	A2AUU0
A4D1T9	Q9DAA4
P31213	Q99N99
Q5XG99	Q8CC84
P49720	Q9R1P1
K7EL98	M0QWL6
P29372	Q04841
Q8N7C3	E9PW10
Q6ICB4	Q14B98
A6NI61	Q9D1N4
O76076	Q9Z0G4
Q9H489	Q3UYP3
Q9BSI4	Q9QXG9
Q9NXJ5	Q9ESW8
P28068	Q31099
P28068	P35737
Q92837	P70339
Q92837	Q9WVA7
Q7Z6K5	Q9D0A3
E2QRD5	Q9D0A3
O15524	O35716
P20340	P35279
Q07326	O09101
O60939	Q56A07
P25208	P63139
O43819	Q8VCL2
Q8TA86	P97762
Q6P587	Q8R0F8
Q16763	Q921J4
Q9H741	Q8BTG6
Q9BUL8	Q8VE70
Q9P296	Q8BW93
Q9Y242	Q99KJ5
P55075	P37237
Q5W111	Q3TFQ1
O14925	Q9WTQ8
Q9BUN1	Q569E4
P82930	Q9JIK9
Q9H867	Q8C436
Q9UGC6	Q9QZB0
Q9Y3E1	Q9JMG7
O15347	O54879
O15347	G5E920
O43402	O70378
P07307	P24721
P60880	P60879
P49788	Q8BVL6
Q92930	P61028
Q7Z309	Q6NZE7
Q15771	Q923S9
Q96EC8	Q8BR70
Q16570	Q9QUI6
Q8N4T8	Q91VT4
Q9NP90	Q8BHH2
Q9NXU5	Q8BGR6
Q99627	Q8VBV7
Q8N7G0	Q9DAC9
Q9Y324	Q9CTH6
Q9NZQ7	Q9EP73
Q9UI15	Q9R1Q8
O75880	Q5SUC9
P61026	P61027
Q6PGN9	Q9D0P7
Q9BQ15	Q8R2Y9
Q9NX63	Q9CRB9
Q9UHV2	Q9JL10
Q96S44	Q99PW4
Q96S44	Q5U452
O15520	O35565
A6NHS7	Q3UU94
P11233	P63321
P78345	Q80UU2
Q15286	Q6PHN9
Q969Q5	P35290
Q8TD94	Q19A41
Q86WR0	Q78PG9
P49755	Q9D1D4
Q8WWF8	Q6P8Y1
Q2I0M4	Q91W20
Q8NAU1	Q8K4Z2
Q7RTV5	Q9D1A0
Q9UQV4	Q7TST5
Q96LD8	Q9D2Z4
Q9Y4P9	Q99JL1
Q9H213	Q9NWG9
P04183	P04184
P30626	Q6P069
Q6P047	Q80ZQ3
Q7Z4W1	Q91X52
Q9NPL8	Q8BUY5
Q9BUJ0	Q922Q6
Q9H6F5	Q9JJ89
Q9Y3E7	Q9CQ10
Q6ZQQ2	E9QA35
Q6ZQQ2	E9QA57
P0C874	E9QA35
P0C874	E9QA57
Q6ZUB0	E9QA35
Q6ZUB0	E9QA57
P39905	P48540
Q15466	Q62227
Q8TBR7	Q5ND56
O15551	Q9Z0G9
Q9BUV0	Q3UC65
Q96DD7	Q8CA71
Q96GF1	Q91YT2
Q96NC0	Q9CPW7
Q96LR2	Q9D6I9
P03891	P03893
A6NFK2	Q3TYR5
O43921	P52801
P51580	O55060
Q3SXP7	Q0VBP7
Q9HB03	O35949
P48230	Q91XD3
Q99578	P70425
Q9UMX3	O35425
P52565	Q99PT1
Q6P5S2	Q8C6C9
P51151	Q9R0M6
Q9BUX1	Q8R3J5
Q9UQN3	Q8BJF9
Q9BVC5	Q922M7
Q9HC24	Q9DA39
Q9NZD2	Q9JL62
Q9UPM9	Q9R1S0
P49798	O08899
P61006	P55258
P61086	P61087
P62745	P62746
O94811	Q7TQD2
Q7Z4J2	Q2NKH9
Q6V702	Q810M1
P57735	Q9WTL2
Q9H902	Q8BGH4
Q96CJ1	Q91ZD6
Q9NVV9	Q8CHW1
Q8TEA8	Q9DD18
Q9H0U4	Q9D1G1
Q9NS28	Q99PG4
Q9HAE3	Q9D3N2
P04085	P20033
P49863	O35205
P29965	P27548
P45877	P30412
P54368	P54369
Q01995	P37804
P46782	P97461
Q06830	P35700
P30711	Q64471
Q6PCB8	P21995
Q9BZ19	A2AMD2
Q15834	Q6PDY0
O43240	Q99M20
O15258	Q9CQU3
Q6I9Y2	Q7TMY4
Q6UXB4	Q8BNX1
Q8N129	Q8BQ47
Q15041	Q9JKW0
Q6ZUJ4	Q9D9C7
Q9BRJ7	Q8VHN8
Q96EY8	Q9D273
Q9NP77	Q9CY97
Q13795	Q8BXL7
P49862	Q91VE3
O95471	Q9Z261
P16083	Q9JI75
Q5T7M4	Q8R2Z0
Q8NC01	Q8BWY2
Q8TAL6	Q9CQS3
Q9H6Q3	Q8R4L0
Q9Y6B6	Q9CQC9
A6NM10	Q8CHJ2
Q8IXF9	Q8CHJ2
O95832	O88551
P01903	P01904
P40617	P61213
P60763	P60764
Q5VZV1	Q8BLU2
P53673	Q9JJV0
P37802	Q9WVA4
P56747	Q9Z262
Q92737	Q8K5A4
Q9NYW6	Q7TQA7
P11487	P05524
O94778	P56404
Q5SQ64	B2RXM6
P09237	Q10738
O43731	Q8R1L4
A6NK58	Q9D009
Q6ZTR7	Q3V2J0
Q5QGT7	Q80ZI2
Q03013	Q8R5I6
Q9BS40	P70202
Q8TBE3	Q8BJN4
Q96M53	Q7TSD4
Q4VC05	Q9CXE2
Q8WUY8	Q8BVG8
Q14206	Q9JHG2
Q96J88	Q8VDI1
Q8N0S2	Q9D495
Q9NQ88	Q8BZA9
Q96A35	Q9CQ06
Q9BVW5	Q91WA1
Q9P0G3	Q8CGR5
Q9BQB4	Q99P68
Q9UI43	Q9CPY0
Q9UI43	Q8CBC7
P62633	P53996
O95857	Q9D8C2
P49184	Q9D7J6
Q86YW5	Q8K558
Q8WY22	Q8BXV2
Q6NSX1	Q9D9B0
Q9HBH0	Q8BYP3
Q8WW62	Q9CQG0
Q99437	Q91V37
Q9Y3B9	Q9CYX7
Q9Y5X0	Q9CWT3
Q12962	Q8K0H5
Q12962	D3Z694
A1L453	Q3UKY7
P09488	P15626
P63000	P63001
P84095	P84096
Q16878	P60334
Q96AJ9	O89116
Q6NS38	Q6P6J4
Q9HAP6	O88951
Q96N21	Q3U3N6
Q8IZR5	Q8CJ61
P61586	Q9QUI0
Q15363	Q9R0Q3
Q6FIF0	Q9DCH6
Q8N1Q8	Q9CQJ0
Q96GV9	Q8VEB3
Q8TBF5	Q99LV7
Q9BWG6	Q8K136
Q9BSH5	Q9CYW4
Q93062	Q9WVB0
Q9NX45	Q9D489
Q5T750	G5E8Z3
P08134	Q62159
Q6UWB4	Q14BX2
P48060	Q9CWG1
Q13487	Q91XA5
Q8NHG8	Q71FD5
Q96A58	Q8R367
Q8N5X7	Q9DBB5
Q9HD33	Q8K2Y7
A6XGL0	F6W8I0
P10767	P21658
Q8IY45	B8JKV0
A6NMD0	Q8BR26
O76036	Q8C567
Q6UWH6	Q62302
O75888	Q9D777
Q9NR31	P36536
P49721	Q9R1P3
P56748	Q9Z260
Q9BUN5	Q8CEG5
Q9NRN9	Q8K1A0
Q9BSH3	Q9CQM0
Q9NPE2	Q99KS2
Q9Y448	Q9D9Z1
Q9UJY1	Q9JK92
Q9GZX7	Q9WVE0
Q9GZX7	Q9WV35
A4D1S5	P35294
O75340	P12815
P17861	O35426
Q49AG3	B2RPU8
P28065	P28076
Q06432	O70578
Q08117	P63002
Q6UWY2	Q14B24
O43583	Q9CQJ6
P61601	Q91X97
Q96HU8	Q5PR73
P53805	Q9JHG6
Q9BVX2	Q80VP8
Q9Y2B2	Q5SX19
Q8NG50	Q9CQK3
Q8WXB1	Q9CQL0
Q9BRT9	Q99LZ3
Q9UF47	Q9CQ94
P08962	P41731
P10412	P43274
Q13287	O35309
Q96AZ1	D3YWP0
P56750	Q8BXA6
Q9BRX5	Q9CY94
Q9HBJ8	Q9ESG4
Q9NYZ1	Q9D8T4
Q9NR28	Q9JIQ3
P0CB47	Q3USZ2
P0CB48	Q3USZ2
O95190	O08608
P51965	P52482
P34130	Q80VU4
P30043	Q923D2
O95147	Q9JLY7
P30085	Q9DBP5
P58499	Q9D309
Q86YS6	Q8CG50
Q14919	Q9D6N5
Q53FT3	Q9DD02
Q9UHQ4	Q61334
Q6UWN5	Q9D7Z7
Q7Z7K6	Q9CXS4
Q9Y3Q3	Q78IS1
Q9Y6A4	Q8BTU1
Q9H0W7	Q9D305
P15153	Q05144
P60953	P60766
P62341	P62342
P62760	P62761
Q86XW9	E9Q022
P84074	P84075
P28161	Q80W21
Q9UHP6	E9PWZ8
P56597	Q99MH5
Q8TBZ9	Q9D5W8
Q9UM22	Q99M71
Q8NAV2	Q66JV7
H7C1D1	Q66JV7
P05813	P02525
P40429	P19253
A6NH52	Q6NVH0
P37235	P62748
Q8N5I3	Q2TUM3
O00124	Q9QZ49
O75192	Q9Z211
P11234	Q9JIW9
Q14696	Q9ERE7
Q96IY1	Q8K305
Q8N6Q1	Q9D9D5
Q9BQE9	Q921K9
Q96CF2	Q9D7F7
Q9HAV7	Q99LP6
Q9NPI7	Q99JT5
O15173	Q80UU9
Q15125	P70245
P35270	Q64105
O14966	Q91YQ1
Q16667	Q810P3
Q8N5U1	Q3UPL6
Q92843	P70345
P57796	Q8VHC5
Q92623	Q3V038
P82979	Q9D1J3
Q14691	Q9CZ15
Q96MW1	Q9CR29
Q9BSY9	Q9D291
Q9Y3B6	Q9DB76
P60410	J3QMD1
P60410	L7N2C3
P60410	E9Q1M3
P60413	J3QMD1
P60413	L7N2C3
P60413	E9Q1M3
P60331	J3QMD1
P60331	L7N2C3
P60331	E9Q1M3
O14508	O35717
O14508	D3Z193
P21781	P36363
Q4G0S7	E9PX14
O15318	Q6NXY9
P46781	Q6ZWN5
Q8N565	Q6NVG5
Q8IXH6	Q8CFU8
Q13291	Q9QUM4
Q96BD8	Q9CPV1
Q92572	Q9DCR2
Q9BRX8	Q9CYH2
Q96HZ4	Q9JHE6
Q9BSG0	Q9D9N8
Q9BWV2	Q9D9R3
Q9NSY2	Q9EPQ7
Q9NYW5	Q9JKT3
Q8IWL2	P35242
Q8IWL1	P35242
O00264	O55022
P16401	P43276
Q15672	P26687
P84098	P84099
P62166	Q8BNY6
P59780	Q8BSZ2
Q9UKR0	B2RVZ0
Q9NUP9	O88952
Q8TAB5	Q8BP99
Q3MHD2	Q9D0R8
Q9NWC5	Q60774
Q969G5	Q91VJ2
Q9UM19	Q8BGZ1
Q9Y5K2	Q9Z0M1
Q9BYG8	Q99NB5
Q9BYG8	Q3TR54
Q9BYG8	Q8CB12
Q9BYG8	Q2KHK6
P0CG30	Q61133
P0CG29	Q61133
O00270	F8VQN3
P56559	P61208
P45973	Q61686
Q99942	O35445
Q8NHC7	F6R4A7
Q8NHC7	F8VQ84
Q8NHC7	Q7TS07
Q8NHC7	Q7TS08
Q8NHC7	Q7TS10
Q8NHC7	Q7TS05
Q8NHC7	B2RVZ1
Q5T9Z0	Q8CC62
Q5T9Z0	Q810U2
P08833	P47876
P29966	P26645
O15446	Q76KJ5
P19397	Q61451
P17152	Q8BK08
Q2VPA4	Q64735
Q9H3R2	P19467
P23435	Q9R171
Q96HA9	Q6P6M5
Q13637	Q9CZE3
Q6P1X6	Q8VE95
Q8IV03	Q8K2P1
Q9BYL1	Q7TST3
Q96H35	Q9CR83
Q8NHS0	Q9QYI7
Q9UM13	Q8K2H6
Q9NVP2	Q9DAP7
Q9Y3B2	Q9DAA6
F2Z333	A2A9Q0
P0C875	Q497Q6
P01112	Q61411
P32119	Q61171
O00217	Q8K3J1
Q9P2W1	O35047
Q9UL26	P35285
P53672	Q9JJV1
Q9NXL2	Q80VK6
Q8WZ82	Q9D7E3
P16562	P16563
P50402	O08579
Q5JWF8	A2AKE7
P43487	P34022
P14649	Q8CI43
Q9NX57	P35295
Q96DR4	Q99JV5
Q9NYR9	Q9CR56
Q9HC57	Q9ESH5
P08174	Q61475
P08174	Q61476
P10451	P10923
P19429	P48787
P20827	P52793
A2A3L6	Q8BYG0
P83916	P83917
A6NIE9	Q99MS4
Q7RTU7	Q64124
Q5TZF3	Q810N6
Q99653	P61022
Q6NT89	Q80ZI1
Q9UHD4	O70303
Q9HAF1	Q2VPQ9
Q8N6S5	Q8BH07
Q13257	Q9Z1B5
Q9BU64	Q8K015
Q8IXY8	Q9D6D8
Q9H8W3	Q8C6C7
Q9BUP0	Q9D4J1
Q9P016	Q91YJ3
Q9NQ34	Q9JJR8
Q8TAA5	O88396
Q5T230	Q6J1H4
O95848	Q9D142
Q96M61	Q8BQR7
Q96B01	Q8C551
Q8WVE0	Q9CY45
Q9P0P8	Q9CQF4
Q9Y584	Q9CQ85
P05538	P01921
P01920	P01921
Q9UBK7	E9Q9D5
Q9UNT1	E9Q9D5
P01116	P32883
P02747	Q02105
Q0VG99	O08574
O00584	Q9CQ01
P06340	Q9QWV1
Q6IPU0	Q9CZ92
Q6UXZ0	Q9D7L8
Q8N5H3	Q9QUI1
Q9NPB3	Q9JLK4
Q9UKK9	Q9JKX6
P06870	P15947
P06870	P15945
P06870	P00757
P06870	P00756
P06870	Q61759
P06870	P15946
P06870	Q61754
P06870	P15949
P06870	P00755
P06870	P15948
P06870	Q9JM71
P06870	P36369
P06870	P36368
P06870	P07628
P60409	J3QJV4
P60409	J3QMW1
P60409	E9Q2H5
P60409	J3QK30
P60409	D3Z5T3
P60372	J3QJV4
P60372	J3QMW1
P60372	E9Q2H5
P60372	J3QK30
P60372	D3Z5T3
P60371	J3QJV4
P60371	J3QMW1
P60371	E9Q2H5
P60371	J3QK30
P60371	D3Z5T3
O60565	O70326
O95813	O55233
P15529	O88174
P23946	P21844
A8MYB1	Q80X59
P61081	P61082
P61758	P61759
A6NCS6	Q9CYS6
P30405	Q99KR7
Q5T0U0	Q8BVN0
O76081	Q9QZB1
P49703	Q99PE9
Q15669	Q9D3G9
Q96HA8	Q80WB5
Q8N5I4	Q8VBZ0
Q9NTU7	Q8BME9
Q969M7	Q9CY34
Q96CT7	Q9D8X2
Q9BX93	Q99P27
Q9BY50	Q9D8V7
Q9NVJ2	Q9CQW2
Q9Y5U2	Q9JHE7
P09211	P19157
P09211	P46425
Q9BSU3	Q3UX61
Q9BSU3	Q9CQX6
P01111	P08556
P25942	P27512
P62256	P62257
Q86SX3	Q3UK37
O95816	Q91YN9
Q6ZUX7	Q8BGA2
P18283	Q9JHC0
Q8NDY6	Q8BGW3
Q8IV50	Q9D7V2
Q93070	Q9CRA0
Q9NVL8	Q9CPZ1
A8MX34	A2A5X4
Q02080	O55087
P08246	Q3UP87
P62081	P62082
P20290	Q64152
O14613	Q8JZX9
Q15528	Q62276
O00233	Q9CR00
O95057	Q91Z61
Q8WV15	Q5FW56
Q9Y680	O54998
Q12999	Q9CQ88
Q8N387	Q8C6Z1
Q6ZRY4	Q8VC52
Q6P4A7	Q925N1
Q6ICG8	Q9D529
Q96BM9	Q8VEH3
Q96MC5	Q8R1Y2
Q9Y5N5	Q6SKR2
Q9BXL5	Q9ERZ0
Q9BTE1	Q9QZB9
Q9Y5N6	Q9WUJ8
P01906	P01910
P01909	P01910
P32969	P51410
P32969	G3UW34
P38484	Q63953
Q5VWZ2	Q3UFF7
Q7RTY5	Q14B25
Q6PIV2	Q3UTB7
P18621	Q9CPR4
Q96LJ8	Q8BG34
Q6ZSC3	Q99J64
Q9NQ76	Q8K4L6
Q9GZV9	Q9EPC2
P10646	O54819
P06734	P20693
P12544	P11032
Q53H80	B1AXD8
P16402	P43277
P49765	P49766
Q05195	P50538
P59551	Q7TQA9
Q6ZS82	Q148R9
O95379	Q921Z5
Q6URK8	Q6IMH0
Q7L8S5	Q6IE21
O00399	Q9WUB4
Q9H169	P63042
Q86YT9	Q80UL9
O75838	Q9Z309
Q13636	Q921E2
Q7LBR1	Q99LU0
Q9HD15	Q80VJ2
Q96FX8	Q9JK95
Q9ULC4	Q9DB27
P02745	P98086
P43080	P43081
Q96AQ7	P56198
Q8N8D7	Q3URJ8
O43291	Q9WU03
Q6UWY5	Q8BSH2
Q9BQD7	Q501J2
P56746	Q9Z0S5
Q9NWU5	Q8BU88
Q9H0Y0	Q8R1P4
Q9NYS0	Q8CEC5
Q9BT30	Q9D6Z0
Q9UM00	Q921L3
A8MYP8	Q5M8M2
P57052	Q80YT9
A8MPT4	Q9D4P7
Q7Z6I8	Q80X32
Q96MN5	Q8R2M0
Q96IU4	Q8VCR7
Q9BWT6	Q8K396
Q9UBQ0	Q9QZ88
O00161	O09044
P02753	Q00724
P49006	P28667
Q13185	P23198
A2RU48	Q8BQM7
A4D2B0	Q8BWY4
P28676	Q8VC88
Q8N2A8	Q5SWZ9
Q7RTY3	Q8K4I7
Q5J8M3	Q9CZX9
Q9BVM2	Q8BPA8
Q96EK6	Q9JK38
P28908	Q60846
Q5GJ75	Q3TBL6
Q68J44	Q8BK84
Q86X83	Q8BXC6
Q99819	Q62160
Q8WWM9	Q9CX80
Q9H6X4	Q8R0J4
Q9BRV8	Q9CPR7
Q9UBT3	Q8VEJ3
Q9NX70	Q9DB91
Q9UMY1	Q9D7Z3
Q9P299	Q9JHH9
Q9H8X9	Q14AK4
P0C7U3	Q14AK4
Q96P31	Q68SN8
Q96RD9	Q68SN8
A2IDD5	D3Z5T1
O14493	O35054
O14653	O35166
O14713	O35671
O60543	O70302
O75715	P21765
P08590	P09542
Q5SV17	B2RWJ3
P62380	P62340
P62834	P62835
Q02543	P62717
P25311	Q64726
Q14582	Q60948
A6ND01	Q9EQF4
H3BQF6	Q9D853
Q6UW56	Q6PGD0
Q99807	P97478
Q8TED1	Q9D7B7
Q96S90	Q9D0E3
Q9H9L7	Q99LF1
P01375	P06804
P84077	P84078
Q14714	Q62147
Q8N511	Q5SYH2
O43557	Q9QYH9
Q6PK04	Q8R0K4
Q96CD2	Q8BZB2
Q6UW01	Q9JHG0
Q96KN8	Q9CPX5
Q96S19	Q9DCS2
Q9BQJ4	Q9JJG6
Q9NX00	Q9D938
Q9BZX4	Q9ESG2
Q9HAT0	Q9ESG2
Q96CA5	A2AWP0
P42857	Q62092
Q96G30	D3Z1Q2
P55327	Q62393
Q8IWT1	Q7M729
P61224	Q99JI6
Q9BPU9	Q3UK10
Q6IQ19	Q8QZT2
P51153	Q9DD03
Q7RTY9	Q920S2
Q6P7N7	Q9D5K1
Q92876	Q91Y82
Q9BX74	Q99MB3
Q96KC2	Q9D4P0
Q9P0T7	Q9CR23
Q6X9E4	Q5U467
Q6X9E4	Q497Z0
Q6X9E4	Q8BI58
Q6X9E4	Q8C2W8
Q6X9E4	Q5XG67
Q6X9E4	Q8BI38
Q6X9E4	E9PXM9
Q6X9E4	Q3TSA9
Q6X9E4	Q8BI57
Q6X9E4	E9Q8A4
Q6X9E4	Q8C2Y5
Q6X9E4	F7C9P2
Q6X9E4	L7N1X6
P01189	P01193
P17677	P06837
Q86XA0	A2AA28
P61204	P61205
A6NGC4	Q8VC26
P52566	Q61599
Q6P5X7	Q149F5
Q8IZ57	P97799
O15145	Q9JM76
O00592	Q9R0M4
Q99218	P63277
P50914	Q9CR57
Q9H6Y5	Q4KL35
Q9UIB8	Q18PI6
Q96C74	Q9EQ00
Q96LA5	Q9EQY5
Q9Y3B1	Q9CYY7
Q9Y2B0	Q9QXT0
O75884	O88851
P35243	P34057
P61225	P61226
P61599	P61600
P84085	P84084
A6NCQ9	Q8CEF8
B3SHH9	Q9D563
O95707	Q9CR08
O75596	Q9EPW4
Q96EU6	Q3UFY0
Q86SH2	Q80SU3
Q9H665	Q3U4N7
Q8WW59	Q91WK1
Q96D03	Q8VHZ5
Q99618	Q99M54
Q969J3	Q9D920
P31944	O89094
P78417	O09131
P28907	P56528
Q16890	O54818
P10114	Q80ZJ1
O15498	Q9CQW1
Q8N0V3	Q6P3B9
Q6IPR3	Q8BSA9
Q08116	Q9JL25
Q8NHV1	Q8R379
Q8IW40	Q9D9P2
Q9UGY1	Q8BG17
Q9BZY9	Q8R0K2
Q9Y689	Q80ZU0
Q9Y3L5	Q8BU31
Q9UMX6	Q8VBV8
Q9NRW4	Q99N11
Q07020	P35980
Q6ZR62	Q3URY0
O60635	Q99J59
Q8N5W9	Q5SVD0
Q8N5M9	Q5XKN4
O43708	Q9WVL0
P62913	Q9CXW4
P19237	Q9WUZ5
Q16082	Q99PR8
Q8WTR2	Q8K4T5
Q7Z7N9	Q9CY24
Q8IXQ8	Q9D9M4
Q9BY32	Q9D892
Q9Y221	Q9CXK8
O60487	O70255
P04792	P14602
P26842	P41272
P46527	P46414
Q8N4L8	E9PUW8
Q86Y78	Q8BPP5
Q9NYL4	Q9D1M7
Q9UK33	Q9DB38
A6NMN3	E9PXT9
O60232	P56873
P13224	P56400
P78560	O88843
P50591	P50592
P62330	P62331
O75251	Q9DC70
Q9UKL6	P53808
Q53R12	Q9CQY8
Q9BYG7	Q7TNB4
Q8TDC0	Q8R4E4
Q8IUR0	Q9CQA1
Q96LA6	Q8R4Y0
Q8NHR7	Q9D494
Q8IVV8	Q9JMG4
Q9HD42	Q921W0
Q9Y5S9	Q9CWZ3
Q496A3	A2RRY8
A6NH11	Q8K0R6
P41271	Q61477
P0C7W6	Q810N9
Q4LDG9	Q05A62
Q9H0F7	O88848
Q0VDI3	Q8VDR5
Q96MN9	Q5HZG9
Q93096	Q63739
Q8WUY1	Q80ZW2
P36405	Q9WUL7
P78317	Q9QZS2
Q9BRG1	Q9CQ80
Q9NZJ9	Q8R2U6
Q96DN0	Q9D8U3
Q9BZM1	Q9EPR2
O75629	O88668
P00746	P03953
O00212	P97348
P61968	P61969
Q07812	Q07813
Q12870	Q60756
Q86W54	Q6P926
